RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
102001,0,United States,country,,1238.5094527991102,1243.7945874581442,1248.9885510333477,1254.4095248295453,1258.667149931463,1263.4001636302123,1268.12883553114,1273.6154988675084,1278.8485131410882,1283.9473766677324,1288.838512642711,1293.8821029326048,1298.4634215758533,1301.8201737044892,1304.049309334035,1307.3171245104636,1311.205285089598,1315.7694743239283,1319.760728897231,1323.9437588182766,1327.3444441490558,1331.0453274427086,1334.4875788071238,1338.338508641988,1344.0751741000997,1351.0551100810544,1358.9303787451324,1364.9765974414768,1370.306910096328,1375.0978994197314,1380.0043219426975,1384.3899762990184,1390.20686433272,1395.1375315694804,1400.3852168271073,1405.2474800089497,1410.2072018293784,1415.2701646353048,1420.139400654146,1425.1625172614315,1429.8082307140703,1434.7670285093855,1439.8507778499657,1445.4240451616324,1450.396508661569,1455.9729032430482,1462.1632902020128,1468.5351270117224,1473.4775064512905,1477.9104411921091,1482.4944856210986,1487.7120002193483,1493.560795878322,1499.3197041432793,1505.0809784027695,1510.684791836232,1516.2322121385905,1521.7121592534895,1526.6379552821475,1531.5709606646708,1537.2343317065477,1543.0758752369893,1548.5281406736963,1551.0148729876887,1554.009993265991,1559.4595639184647,1570.1255090931895,1581.5142707001546,1594.1021213693134,1606.401738386047,1618.4511761691365,1630.524433049317,1643.3624244960554,1656.4274626349297,1669.8905879627448,1685.7322976945711,1705.2777789556653,1725.632904536049,1745.2077911318866,1765.1796932082598,1785.249686797043,1804.285223829595,1822.488729267967,1839.4230891154552,1855.2533044589918,1871.2471801077954,1886.4496268750693,1903.1975127593416,1917.1042771166815,1932.0105793869668,1943.7139654066198,1954.5938502749636,1962.4580271491996,1971.2556961508947,1978.2279085256766,1987.7801607781053,1994.5307302671367,2002.0180002285074,2009.042693457554,2017.7572545011549,2025.8074935627064,2032.8347586649952,2040.281645220402,2048.6221634777694,2057.3804385871563,2064.9219032861997,2072.1975915404882,2079.5436270182736,2089.4663570777375,2098.215923719196,2107.2672633015945,2113.3564927020425,2120.1987064501745,2126.739303188694,2134.296691957934,2141.156833915367,2148.853004824321,2156.940846802551,2165.9986732274256,2173.6002921062445
394913,1,"New York, NY",msa,NY,2220.652958297492,2237.857800515137,2247.4755165204824,2252.50383832239,2248.8294190953143,2259.9773142602403,2267.0932482509043,2275.777196797885,2280.199285457626,2287.700184210101,2295.602104628541,2307.059853580297,2314.069363917197,2318.00090018335,2321.246639950133,2328.2735194007996,2335.057163729832,2335.540119206959,2340.6911320741056,2343.000401956432,2342.45030600587,2346.028790144295,2366.2180537695012,2382.2827990285814,2398.3787978502387,2402.7797955885176,2409.1119847838017,2412.011440164048,2420.127379651275,2425.5405364020016,2433.721660604844,2436.630135961848,2468.347311735955,2481.8595627437776,2482.2196252342237,2462.4189373915956,2463.312776472449,2471.0184399827017,2471.6370335233655,2476.8881449367796,2485.890868575686,2496.7434790909206,2505.7969410177366,2525.0215942057293,2534.5276656500755,2532.7973142090286,2536.1158594647454,2538.1922520823055,2547.298279664762,2556.61401078768,2568.7777716624933,2578.5621825397398,2583.3626697725113,2589.1440184062344,2594.4262548310385,2595.4555377080164,2591.008342157664,2603.7307906990045,2615.9408691583294,2640.1923885418437,2649.3593735182153,2657.768300639368,2648.5697029842718,2657.4809825788157,2672.2516156579554,2683.396021323613,2697.624538740147,2711.7648166733798,2734.779203874859,2735.73017821264,2767.4431720716634,2768.4262887762197,2801.1308219198763,2805.702197880236,2837.2714181073966,2859.9990613839864,2877.2560022841944,2897.437522974921,2914.3041674911406,2940.074157009305,2956.050276086386,2988.9150990580456,2996.7891151968474,3031.4372458420744,3056.6739025154325,3105.756781503547,3117.190010374131,3131.464947795038,3143.704325441884,3172.3040401497474,3203.5789210864205,3229.7445506853046,3256.121581227547,3272.434390882339,3285.791961766353,3287.574182776804,3279.6397813698713,3290.892102678437,3317.8807189308313,3361.918556570458,3380.9752614927675,3387.4340361268214,3388.893418494738,3399.829766185805,3423.245875815812,3431.3189760442724,3440.042680835591,3453.295399202758,3481.2099838066088,3488.269422396961,3497.1836584189473,3493.339244768183,3511.8828342684055,3531.9034695037603,3555.9517657726587,3574.0388369460866,3585.0153854457,3611.033069386891,3643.532163830153,3674.384407332434
753899,2,"Los Angeles, CA",msa,CA,2468.959474561717,2478.7704342733928,2490.8179574590945,2494.798285866351,2503.820902061626,2515.1445873956422,2530.935060582039,2546.456581457927,2562.8154988342985,2577.869879313224,2585.3865849749977,2598.0450615444233,2609.6926768191584,2626.671871330981,2636.8584111380787,2644.694229246739,2657.3129958556447,2669.1224198370132,2680.103274328127,2687.405930566363,2693.871832167275,2700.3500793890203,2706.0294813172854,2714.4185969716514,2730.1790750133123,2747.181897798314,2766.761191161619,2784.745814382976,2796.375966234283,2804.3997968277813,2812.5887327064506,2820.4532176501225,2835.437722653934,2843.515835987363,2860.7685703509483,2868.917486713298,2880.3372626521477,2889.0442605600647,2896.9355186975545,2910.0111886471386,2914.012337473006,2928.0005282199522,2937.1783138417168,2951.315173547327,2962.1235643371397,2975.0040543131076,2992.9744291877114,3004.739234364927,3013.4114409578697,3014.7761429518355,3023.1653678989214,3029.05989685502,3044.0199416594382,3053.0486458459286,3065.623179155147,3075.1519423031323,3083.5764707572057,3093.7741791793596,3095.6060416704886,3106.097791358963,3115.794941953901,3132.0993079192676,3120.4804625884744,3112.850012400691,3109.959850848073,3123.9347483015863,3150.0844472851345,3164.200218861712,3180.240736466909,3195.3632243381894,3220.8705680585495,3237.7232390825407,3258.291403837731,3275.059046527945,3302.119661666112,3323.9259280666465,3351.2056632078848,3375.1889368076313,3401.39907294959,3444.6745626206643,3488.520761071991,3524.2143751880412,3549.829876458808,3580.9525356764084,3614.912343676814,3656.8091920814163,3693.5407212378595,3732.655159529786,3761.251419658087,3783.469801015079,3800.3566185680997,3808.8542488178955,3821.473228901736,3840.5149768883944,3855.0161278991413,3865.227871418215,3866.770532955565,3874.2817941605845,3887.2099100031814,3910.0490884263872,3925.049574772124,3948.0109478369745,3961.125319740094,3988.1797147087445,3991.8932833665713,4001.6096125906547,4011.6410562512915,4030.622758198113,4052.533957174076,4065.908089100423,4075.491943852699,4076.8717195104177,4087.8762397293713,4095.432025039282,4111.87408071041,4117.584112835669,4138.573041709787,4152.908003875132,4170.373409514389,4181.35539229582
394463,3,"Chicago, IL",msa,IL,1467.6591904460608,1469.5716630053657,1472.4371901216382,1478.795172268448,1484.2857798204363,1488.6578064228934,1489.8191167005025,1492.297528586426,1494.3634316777943,1496.4986417260038,1501.742251223104,1510.970100001059,1514.7276182038556,1517.4816657923047,1518.744333213077,1520.4382223519592,1520.4199160655699,1521.6495037052105,1527.3824849775028,1535.0457914554945,1536.334785118688,1539.6819500515146,1539.0254117634775,1539.1580577725297,1543.3045661023507,1548.1413014752316,1555.3918282981626,1560.54049185333,1567.2506272585306,1569.2667187863203,1570.8383036910532,1571.5272277794454,1575.1202339971137,1576.4209096111008,1580.5018675570573,1583.8386175964486,1586.8527529203675,1591.0802702059846,1594.1136872832162,1600.482458611619,1601.0016046689725,1604.3314390105772,1606.957318138272,1610.6633199298328,1615.788152878547,1619.783028582681,1624.5796563680085,1627.593083560349,1633.7803217578733,1634.4053123466006,1636.932923616202,1637.8053838743867,1642.9314525086133,1648.067885188921,1653.2689031795824,1657.698585895459,1660.9795557085226,1665.8835255514607,1669.6112357577463,1674.9461208260734,1677.4567605559628,1683.7265706687338,1686.839156351772,1688.3561559058721,1687.6620841118818,1689.2647238063382,1695.0325365613583,1702.8580566090166,1705.4700125633763,1709.4505773216745,1714.0517798793987,1725.7440023492363,1737.718620920606,1751.347164305917,1759.090071386879,1769.8304797211692,1780.9276180750383,1797.3246369432948,1812.3498931973625,1826.7711601549943,1847.280341307843,1863.327260948277,1882.1184473160797,1891.369057617913,1902.0068992607064,1907.0069011850424,1923.0529692708612,1937.8069983123066,1956.9307137553556,1968.6180249073884,1983.0058711971478,1995.4677862743456,2002.2746737465268,2013.5809294144547,2018.3091891147062,2033.1776217509337,2042.9964210838807,2057.452714853085,2066.023341549174,2075.3855319486192,2085.8181158899843,2101.442466550807,2113.0373896374863,2124.73004264852,2138.592977320666,2149.2186278102045,2160.852979765721,2171.6294142359575,2185.9011215296364,2198.8839849055353,2212.1856396990393,2225.007633286987,2234.77064533452,2243.1014092527116,2253.547065248444,2265.1003581294653,2276.7277326022513,2289.6133272754987,2304.487365765541,2316.600156937966
394514,4,"Dallas, TX",msa,TX,1379.7246693750749,1385.9739349043384,1390.8114396298022,1398.5405941799568,1404.2979024650522,1410.6480898065283,1416.902384172898,1423.0251276034987,1428.6866200237716,1434.9290920386434,1441.9829645009636,1448.4841379635243,1452.7912874139888,1458.6449815566398,1463.919753666091,1469.3661246959641,1473.8818034229548,1479.0305280227344,1484.5449302685465,1489.759396884505,1495.2493342180758,1499.4160503689177,1503.6138607735659,1506.4491540724919,1514.5691669459677,1521.2517099861245,1531.2693368033072,1537.146626436707,1544.3214731047274,1548.2887734894168,1553.9166942697464,1559.147908727041,1564.0186846765312,1569.2139901012822,1574.6613195499524,1582.8717534450388,1587.788716086668,1592.4658042489118,1594.113966627281,1599.2178781362795,1601.0318332180361,1608.3008459553034,1611.215632027207,1617.5399825172717,1622.7393371764233,1627.4242028022504,1630.255304385671,1635.4224582249024,1640.9188964140194,1646.3802095030303,1651.7113235127365,1656.1803476833459,1662.6618455235237,1666.1950431718465,1672.0412000915255,1675.3090981117336,1679.4002067765823,1683.8126171022711,1689.3442271264973,1691.825095410481,1694.4354560579086,1697.2647642617255,1707.7351617481431,1709.0806080586628,1710.3725125243025,1714.7608863268522,1724.9056151384295,1735.4683540987012,1746.5943660204734,1759.4748781704184,1773.7057078306084,1789.9548292511197,1807.1228964264947,1822.066125009058,1836.7332589551625,1854.1728588676294,1877.5052743270317,1900.5520626747532,1924.8167827999996,1949.7308902966954,1975.8467443568106,1999.92616117094,2018.162601820007,2033.8787339797043,2047.8095995557653,2066.5566357979983,2083.3325189037455,2102.8336609346234,2119.558850841883,2139.2884213867383,2152.3966063036255,2162.832715270475,2171.0234508130957,2181.857076803372,2192.7614099284747,2204.1026645552934,2209.0234374298625,2214.9258531019923,2218.668088299538,2223.8252978215173,2231.841675888155,2238.9655983212433,2246.7859294215655,2252.46596467953,2255.8011878473408,2257.2119025966113,2264.4988750638213,2272.2210447992616,2283.005457264076,2290.1019108470973,2298.8663484922745,2303.76163619473,2305.624175416574,2305.7728702511517,2307.480084999669,2311.205674545781,2316.759274473424,2322.014965166472,2322.9959647597957,2322.841026509935
394692,5,"Houston, TX",msa,TX,1481.5824627010338,1488.0788404246166,1495.3955847345371,1497.6032190549574,1498.099348966589,1498.240432980252,1500.4506596779509,1503.6484556524108,1504.9720292651648,1507.995031257047,1511.0855858016591,1511.9628453902412,1513.7908396388634,1512.5825835650546,1514.0236522152825,1510.4226920920808,1507.8249281495819,1506.249178366945,1507.0740719280004,1507.8792956302382,1504.8246592936384,1502.212933699278,1499.0802373144106,1499.5600583332482,1501.940088800359,1509.210219590323,1516.2681625666226,1520.0603657606027,1521.8222250507604,1522.4564531013234,1525.3913432884794,1527.6981759096914,1538.4468333794846,1548.686446679817,1558.871442079582,1563.0556344259003,1567.0073370081293,1569.0502018359434,1568.8432361452908,1568.3101336752945,1569.803921198572,1573.7891526345677,1575.8836338762721,1579.5718886360478,1580.2829080866516,1581.7338447567263,1581.8073821302041,1584.1736985486552,1586.6015312794902,1589.9059550114112,1593.301981491835,1599.7026481428807,1605.35822072846,1609.4159154442107,1613.2202543985816,1616.127032751466,1618.048211899496,1619.6547625401874,1622.6217905305234,1626.225421068222,1629.621868890926,1632.3835552741916,1635.5006943373717,1635.4849020204294,1635.4946502700916,1635.133572950434,1645.5687817273729,1656.7293157157076,1668.3970744801952,1675.8014918383342,1684.7364542926487,1695.4026659395663,1709.2638215732702,1721.2734433893722,1732.6119310067231,1744.8240182842194,1761.5201166056183,1777.8266460244317,1787.5001364809104,1799.7065904978547,1813.4162370263366,1832.8262532161643,1847.034433932249,1859.8566093427119,1869.921012271601,1880.09828050684,1887.788687818641,1898.4986591800366,1907.8542206239836,1922.6644917670403,1932.5753059675012,1942.8065230345062,1947.8630586143559,1957.1586239766248,1961.015029579999,1968.3107952252838,1971.404066625432,1978.7615146208375,1987.2855183759702,1993.9320659919226,2001.855398622053,2007.624037536983,2018.3966440501988,2024.1422091622262,2029.7779314938925,2030.706122219363,2036.4630037296804,2041.2695140602195,2050.425117167018,2056.3544933510334,2062.487564901063,2068.2307879755613,2072.4115757143254,2075.3858192312505,2077.8935190383854,2083.3831397441004,2091.0492253895954,2098.9648733912954,2106.752599640922,2113.5834783704604
395209,6,"Washington, DC",msa,VA,2026.5864476291629,2036.5265830351448,2044.2967720601443,2046.4537533768896,2046.1725937434003,2048.358873631282,2050.152156565465,2052.430427096583,2058.9099902137054,2063.673022086227,2072.548288592637,2074.7679386018776,2080.2500437806048,2081.138078530444,2081.758057918949,2081.2520496896814,2085.3323775830813,2088.3768714524167,2094.004474885451,2099.669959023225,2100.953247964598,2106.3760594399855,2106.9947688385487,2112.082536205625,2115.7967926798938,2122.408808990598,2131.1553939456708,2135.6628115052217,2138.9154641598443,2141.5063016422164,2146.4185426548133,2148.8112113541215,2155.2038968378815,2157.1829541042766,2161.722276183202,2169.152464647032,2173.549153508449,2177.881944949528,2179.280538141324,2184.6291046399915,2189.695733004408,2194.57885998773,2199.501392525849,2205.155494854678,2207.4695836547753,2211.3544801076187,2220.6526729928214,2228.9051299472862,2232.1060925027514,2234.812471328278,2240.909806312973,2246.509003407452,2252.1516493269887,2258.4332150097935,2263.050983119097,2268.313247427636,2275.0284606294704,2281.9265477609842,2284.3122231702846,2285.4333285339862,2292.2253794774033,2299.0463597786065,2309.676219353626,2310.3298643141175,2312.396286415609,2313.340418896347,2321.9637989492576,2332.160544634083,2343.657029252474,2349.978968632395,2357.6556265090576,2366.9110306758243,2381.9723309423816,2389.4229797260173,2398.5213842310804,2408.2511611122986,2428.59923623958,2446.2539424822753,2463.3429430987553,2478.2951849935607,2493.8489939931414,2515.894828772709,2532.0934018496737,2546.6204913442384,2555.5709646464,2574.720820649531,2591.2125108577657,2614.616988635565,2627.1938559904866,2642.4059221608413,2651.6596575571457,2662.0436234965186,2674.574123731764,2684.1413780045614,2696.2946527575796,2715.29977377745,2730.5105652424163,2743.3884097540067,2746.7683411102953,2751.924543553831,2763.9602242834467,2775.220535966254,2792.216040986116,2805.515718850864,2821.7342236695363,2837.4174617519884,2849.5104513269644,2857.9744601250522,2870.9444582132337,2881.766189753044,2900.6996840565143,2914.498102124517,2925.640350532731,2936.26996471944,2944.85411653757,2955.759608024386,2962.623816355962,2969.662893075698,2978.9022367005737,2987.211521558867
394974,7,"Philadelphia, PA",msa,PA,1299.845219485347,1305.8648579148175,1312.1019810939213,1316.539467409128,1317.6135903285622,1317.9258490272132,1320.9162618120738,1323.9007052274917,1329.4448083580633,1334.3648873599043,1333.5326399726544,1335.3843164594325,1335.830526633878,1341.3366859536866,1343.450401322389,1347.3936581513362,1351.1552610394729,1357.557320613664,1361.107460868436,1364.103205460389,1364.2453298988623,1365.259657677986,1372.1569091686667,1377.00163946668,1384.7052640656805,1387.3901232365974,1392.7327096527122,1395.3745261347785,1398.068095759405,1398.0218468589235,1402.0624504581253,1407.7222739663716,1414.3301011839148,1418.708339393108,1421.8626564428525,1426.5793117140051,1428.005447505311,1431.3653069143345,1436.3755755437573,1443.2706374748905,1449.9620553636119,1453.1986518867398,1455.5811498005057,1458.0543131820948,1463.5751551560675,1470.3061009710068,1477.078869235732,1479.096411321821,1484.1633775660605,1488.6121833904472,1492.18367091292,1495.430731775562,1499.098621287896,1506.4175452422453,1513.0043221117735,1518.9536342699837,1522.7185120618344,1526.6150674354935,1530.1860104159284,1537.1917405580489,1543.115950126609,1549.6785003758002,1551.5164993591143,1553.8817061960299,1556.7858539866695,1560.8989374543805,1572.352701189079,1581.7207173906622,1595.7119350839696,1601.8614864085037,1610.923912787466,1616.1611484467721,1628.1801386159043,1640.3090850229967,1648.5049519641689,1662.2381567531054,1676.4969388160703,1690.9517797257597,1701.791994676597,1714.8156024887935,1719.6381207037714,1734.9073102308803,1749.360100569105,1775.8926415574795,1789.4308303171595,1798.3705098488444,1808.052236613915,1818.6650443739904,1831.3102242868147,1846.1133338955174,1859.77485883842,1873.1251146466152,1881.3217876474812,1883.6775305856959,1888.1726097224564,1889.2237693531608,1898.5433094722848,1908.0901084024717,1919.9713619694874,1931.1461220461053,1938.3332956427594,1946.3557224496171,1955.1095119575518,1964.237589468841,1977.8687100353684,1992.668640957033,2003.0814090678268,2005.171024581003,2012.8560002575728,2022.5733013214,2031.0253957663692,2038.4232835884775,2047.8827483272676,2055.623027813264,2064.062282747439,2071.998307509289,2080.7490747448587,2089.497856499272,2100.750884971108,2117.8311458866933
394856,8,"Miami, FL",msa,FL,1723.205116814474,1732.0920858758043,1744.122109105796,1755.2104537036987,1760.7037721722143,1767.148303686951,1775.5330126617118,1783.6541963149252,1794.6134763988755,1800.968189684197,1812.9338413255487,1820.1748935184287,1831.9405122511369,1832.7044206268592,1836.8298914528532,1837.004627267589,1845.5681536535278,1846.947829267356,1849.9452690985706,1851.5222838570767,1857.2775228134772,1862.3935220018589,1868.417666392203,1871.796967562851,1878.4624738083492,1888.427814543,1897.95706533045,1904.0487310784447,1905.9969029633207,1913.9934209795272,1922.3283175044787,1931.6853538399878,1935.7027286753707,1941.1097504766424,1942.5104044730663,1950.3486578139077,1957.526155369566,1966.6778836135468,1970.0332786767417,1977.861409312734,1984.2748462255943,1989.227840930451,1994.8092741899356,2001.7187850731314,2008.960530269641,2013.5359247726144,2018.7695865796438,2023.2811662648082,2030.0681217093263,2033.3470200654112,2040.06060263057,2046.1171103667652,2053.903890084133,2061.430162819406,2068.0860747370884,2073.6720663916503,2080.9002228654413,2089.936648613139,2100.369131240057,2109.1027585196707,2115.8965037558237,2124.4031129082805,2127.850577733936,2133.836435927973,2132.8191977989204,2142.1728695246497,2156.3459881673957,2172.465228437058,2189.229912648985,,2247.4553649687264,2276.067084671341,2292.2545334437104,2317.904991874934,2337.2808089163614,2367.354261402207,2406.313719650922,2455.042343539956,2512.4530410433863,2565.2757239704724,2632.5594849162017,2677.531627119884,2739.7066316867845,2791.4391779025473,2861.8926183523463,2910.670226653546,2963.2791719952775,3015.405154983014,3071.7709555219253,3116.213198357432,3144.1441540008586,3166.808986711176,3168.8056532297114,3178.028067868463,3180.1034107329506,3196.926257736254,3204.7632661605467,3210.613789233979,3212.4183847063437,3223.121457425221,3235.3325445374608,3256.0097115212734,3263.0836833879375,3275.9436890733627,3287.719126673573,3313.421285197148,3323.823362579435,3321.5186871686346,3327.9450511485397,3343.443788163456,3360.5205009033843,3366.6749995347877,3366.0934594182004,3360.916680181412,3370.944611345708,3378.8578004334113,3392.769806998645,3395.8290643653186,3408.7394042597007,3425.004918260797
394347,9,"Atlanta, GA",msa,GA,1087.5130847304251,1092.493139542479,1095.2348537307744,1101.8170149088842,1105.5713011667642,1112.6932052982302,1117.1994983880488,1122.0998770376636,1126.8499963343916,1132.1391446359537,1135.4826809138688,1140.166004449423,1146.3342523415554,1154.1712049131304,1159.1725261452816,1162.2818073288577,1165.8092736895203,1170.83990142764,1177.210383250245,1184.0801737913275,1188.4442121077093,1193.597305603912,1197.2199552021143,1202.5244197896832,1207.6407989394436,1214.160837995264,1222.6395185736058,1230.296348463469,1237.9829433815976,1244.1120496196743,1252.2984491885786,1258.4991762204647,1266.2416557219965,1268.6621031847344,1276.7063624072891,1281.3009850639578,1289.4276753217846,1293.2266613985664,1300.6339636144855,1307.342255272618,1314.7897321785258,1318.695415378427,1323.1592876937248,1328.1870232006454,1335.0868251817415,1344.6895862934973,1352.9163164325344,1360.924684411162,1367.0582979431726,1373.2870232818327,1377.9903705092734,1384.04089990783,1389.6055355936542,1398.4456553616724,1405.6309245018854,1413.3281565274988,1419.313305604972,1425.749326793697,1430.7695110561522,1437.396829929748,1443.690382825114,1451.866743718082,1459.5347868121758,1466.231839944136,1474.3965582987748,1483.5127938278738,1496.567750554946,1510.3286463201975,1526.4117243849362,1541.8157562013957,1558.2221849969487,1574.8323577195774,1594.7534442663202,1616.3599507571707,1637.245861804912,1661.3439135092224,1683.7936023391019,1707.913381738911,1728.8276962845862,1755.2139022895649,1779.9905874113058,1806.4731367522536,1826.8056846735221,1840.7017292543412,1850.757490370672,1859.2408378178577,1873.3585631480296,1885.802943976513,1902.1190827054738,1919.506066236326,1939.630587433806,1953.8842666571477,1965.8408083217848,1976.1911895746875,1986.1135982405467,2001.7335762412738,2002.7732664010339,2005.7005700751765,2006.4707051841497,2014.666070347443,2021.358801654279,2021.6592846933797,2024.4168131814747,2027.4457371009428,2033.5820138013505,2033.5572867709052,2036.196016708757,2041.600477652935,2057.1768965498804,2070.9956208178032,2083.092094086456,2088.9885457711794,2093.9202733188786,2102.5424659497635,2108.297470541786,2115.4646094720397,2121.6183798473317,2132.983693989463,2143.720561114784,2150.618404640862
